date,actual_demand,predicted_demand,lower_bound,upper_bound,baseline_prediction,optimal_quantity,baseline_quantity,optimized_waste_realized,baseline_waste_realized,optimized_shortage_realized,baseline_shortage_realized,optimized_cost_inr,baseline_cost_inr,daily_cost_saving_inr
2026-03-08,1450.0,1451.7979053023978,1046.9514439679792,1856.6443666368164,3380.3571428571427,1522,3380,72.0,1930.3571428571427,0.0,0.0,2520.0,67562.5,65042.5
2026-03-09,2458.0,2580.769868905928,2199.325965543623,2962.213772268233,3169.4642857142853,2647,3169,189.0,711.4642857142853,0.0,0.0,6615.0,24901.249999999985,18286.249999999985
2026-03-10,2646.0,2711.7701475836875,2331.4159430927903,3092.1243520745847,3050.3571428571427,2778,3050,132.0,404.35714285714266,0.0,0.0,4620.0,14152.499999999993,9532.499999999993
2026-03-11,2548.0,2765.7575479600387,2375.168972513868,3156.3461234062092,3028.75,2833,3029,285.0,480.75,0.0,0.0,9975.0,16826.25,6851.25
2026-03-12,2736.0,2666.116106246723,2286.218481854343,3046.0137306391034,2980.8928571428573,2732,2981,0.0,244.89285714285734,4.0,0.0,220.0,8571.250000000007,8351.250000000007
2026-03-13,2579.0,2587.63833857159,2207.496854052642,2967.779823090538,3012.3214285714284,2653,3012,74.0,433.32142857142844,0.0,0.0,2590.0,15166.249999999996,12576.249999999996
2026-03-14,2591.0,2587.4987633292403,2206.075366213074,2968.9221604454065,3004.8214285714284,2653,3005,62.0,413.82142857142844,0.0,0.0,2170.0,14483.749999999996,12313.749999999996
2026-03-15,2401.0,2565.2992429952424,2181.737766231088,2948.860719759397,3037.1428571428573,2632,3037,231.0,636.1428571428573,0.0,0.0,8085.0,22265.000000000007,14180.000000000007
2026-03-16,2684.0,2781.3687780431596,2397.5811538055113,3165.156402280808,3206.9642857142853,2848,3207,164.0,522.9642857142853,0.0,0.0,5740.0,18303.749999999985,12563.749999999985
2026-03-17,2719.0,2701.413803343276,2320.716681635392,3082.11092505116,3247.3214285714284,2767,3247,48.0,528.3214285714284,0.0,0.0,1680.0,18491.249999999996,16811.249999999996
2026-03-18,2640.0,2681.5713067300558,2300.282014907521,3062.8605985525905,3260.3571428571427,2747,3260,107.0,620.3571428571427,0.0,0.0,3745.0,21712.499999999993,17967.499999999993
2026-03-19,2750.0,2706.4423900369816,2325.0020116834307,3087.8827683905324,3276.7857142857147,2772,3277,22.0,526.7857142857147,0.0,0.0,770.0,18437.500000000015,17667.500000000015
2026-03-20,2497.0,2457.5631644445575,2076.2202834217014,2838.9060454674136,3279.2857142857147,2523,3279,26.0,782.2857142857147,0.0,0.0,910.0,27380.000000000015,26470.000000000015
2026-03-21,2387.0,2206.531913211273,1825.1299663609368,2587.9338600616097,3264.6428571428573,2272,3265,0.0,877.6428571428573,115.0,0.0,6325.0,30717.500000000007,24392.500000000007
2026-03-22,2096.0,2108.619207352957,1728.2804811670999,2488.957933538814,3228.2142857142853,2174,3228,78.0,1132.2142857142853,0.0,0.0,2730.0,39627.499999999985,36897.499999999985
2026-03-23,2753.0,2665.170672510864,2284.5394624018336,3045.801882619894,3173.75,2731,3174,0.0,420.75,22.0,0.0,1210.0,14726.25,13516.25
2026-03-24,2785.0,2817.2725056625422,2436.3409960608133,3198.204015264271,3186.0714285714284,2883,3186,98.0,401.07142857142844,0.0,0.0,3430.0,14037.499999999996,10607.499999999996
2026-03-25,2521.0,2651.6587813929223,2271.100793452007,3032.2167693338374,3197.8571428571427,2717,3198,196.0,676.8571428571427,0.0,0.0,6860.0,23689.999999999993,16829.999999999993
2026-03-26,2555.0,2623.4435073251084,2243.473254133637,3003.4137605165797,3176.6071428571427,2689,3177,134.0,621.6071428571427,0.0,0.0,4690.0,21756.249999999993,17066.249999999993
2026-03-27,2522.0,2697.591039845846,2314.155829281609,3081.026250410083,3141.7857142857147,2764,3142,242.0,619.7857142857147,0.0,0.0,8470.0,21692.500000000015,13222.500000000015
2026-03-28,2590.0,2581.5295762507294,2200.0617377290087,2962.99741477245,3146.25,2647,3146,57.0,556.25,0.0,0.0,1995.0,19468.75,17473.75
2026-03-29,2057.0,2122.7629878989555,1740.326843471546,2505.199132326365,3182.5,2189,3182,132.0,1125.5,0.0,0.0,4620.0,39392.5,34772.5
2026-03-30,2518.0,2687.8338725904687,2307.508328302658,3068.1594168782794,3175.5357142857147,2754,3176,236.0,657.5357142857147,0.0,0.0,8260.0,23013.750000000015,14753.750000000015
2026-03-31,2673.0,2490.4170876055096,2109.491649779651,2871.342525431368,3133.5714285714284,2556,3134,0.0,460.57142857142844,117.0,0.0,6435.0,16119.999999999996,9684.999999999996
2026-04-01,2793.0,2807.943711773261,2426.7294262409987,3189.157997305523,3113.5714285714284,2874,3114,81.0,320.57142857142844,0.0,0.0,2835.0,11219.999999999996,8384.999999999996
2026-04-02,2827.0,2932.8361919209174,2550.434789917431,3315.237593924404,3162.1428571428573,2999,3162,172.0,335.14285714285734,0.0,0.0,6020.0,11730.000000000007,5710.000000000007
